Group,Mo2 Name,Lookup URL,Version,Nexus URL,Nexus Mod Name,Category,Author,Author URL,Kofi,Paypal,Patreon
0 - Official Mods,Official DLC: HearthFires,Official DLC: HearthFires,1.5.97,Official DLC: HearthFires,DLC: HearthFires,Gameplay,Bethesda,,,,
0 - Official Mods,Official DLC: Dragonborn,Official DLC: Dragonborn,1.5.97,Official DLC: Dragonborn,DLC: Dawnguard,Gameplay,Bethesda,,,,
0 - Official Mods,Official DLC: Dawnguard,Official DLC: Dawnguard,1.5.97,Official DLC: Dawnguard,DLC: Dragonborn,Gameplay,Bethesda,,,,
1 -Dummys,Obscure's Faces of Winterhold - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/25691,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/25691,Obscure's Faces of Winterhold - Dummy,Dummy,SomethingObscure,https://www.nexusmods.com/skyrimspecialedition/users/598980,,,
1 -Dummys,Followers Hirelings and Housecarls SSE - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/19200,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/19200,Followers Hirelings and Housecarls SSE - Dummy,Dummy,mavanaic,https://www.nexusmods.com/skyrimspecialedition/users/6236653,,,
1 -Dummys,Whiterun Hold Refine - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/37199,RELZ,https://www.nexusmods.com/skyrimspecialedition/mods/37199,Whiterun Hold Refine - Dummy,Dummy,DylanJamesWasTaken,https://www.nexusmods.com/skyrimspecialedition/users/47365508,https://ko-fi.com/dylanjameshatescoffee,,
1 -Dummys,Markarth Side Refine - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/37486,RELZ,https://www.nexusmods.com/skyrimspecialedition/mods/37486,Markarth Side Refine - Dummy,Dummy,DylanJamesWasTaken,https://www.nexusmods.com/skyrimspecialedition/users/47365508,https://ko-fi.com/dylanjameshatescoffee,,
1 -Dummys,Stormcloak Rebellion Refine - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/37552,RELZ,https://www.nexusmods.com/skyrimspecialedition/mods/37552,Stormcloak Rebellion Refine - Dummy,Dummy,DylanJamesWasTaken,https://www.nexusmods.com/skyrimspecialedition/users/47365508,https://ko-fi.com/dylanjameshatescoffee,,
1 -Dummys,Beards of Power Sons of Skyrim - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/43293,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/43293,Beards of Power Sons of Skyrim - Dummy,Dummy,Mharlek1,https://www.nexusmods.com/skyrimspecialedition/users/20108844,,,
1 -Dummys,Northbourne NPCs of Falkreath Hold - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/37528,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/37528,Northbourne NPCs of Falkreath Hold - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1 -Dummys,Northbourne NPCs of Whiterun Hold - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/35404,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/35404,Northbourne NPCs of Whiterun Hold - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1 -Dummys,Northbourne NPCs of Haafingar - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/48481,1.1.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/48481,Northbourne NPCs of Haafingar - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1 -Dummys,Northbourne NPCs of the Rift - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/42349,1.3.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/42349,Northbourne NPCs of the Rift - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1 -Dummys,Northbourne NPCs of Winterhold - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/43413,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/43413,Northbourne NPCs of Winterhold - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1 -Dummys,Elegant Elven Followers SSE - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/48281,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/48281,Elegant Elven Followers SSE - Dummy,Dummy,Tragedian,https://www.nexusmods.com/skyrimspecialedition/users/83947353,,,
1 -Dummys,Marvelous Mage Followers SSE - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/49477,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/49477,Marvelous Mage Followers SSE - Dummy,Dummy,Tragedian,https://www.nexusmods.com/skyrimspecialedition/users/83947353,,,
1 -Dummys,Complete Widescreen Fix - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/1778,1.8,https://www.nexusmods.com/skyrimspecialedition/mods/1778,Complete Widescreen Fix - Dummy,Dummy,daisuke_niwa,https://www.nexusmods.com/skyrimspecialedition/users/1054574,,https://www.nexusmods.com/Core/Libs/Common/Widgets/PayPalPopUp?user=1054574,
1 -Dummys,High Poly Head - Dummy,https://vectorplexis.com/files/file/283-high-poly-head/,,https://vectorplexis.com/files/file/283-high-poly-head/,High Poly Head - Dummy,Dummy,kouleifoh,https://vectorplexis.com/profile/90-kouleifoh/,,,
1 -Dummys,High Poly Project - Dummy,https://www.nexusmods.com/skyrimspecialedition/mods/12029,4.3.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/12029,High Poly Project,Dummy,LucidAPs,https://www.nexusmods.com/skyrimspecialedition/users/3180451,,,
2 - Bugfixes,skse64_2_00_20,https://skse.silverlock.org/,d2021.10.8.0,https://skse.silverlock.org/,skse64_2_00_20,Bug Fixes and Utility,SKSE Team,https://skse.silverlock.org/,,,
