Group,Mo2 Name,Version,Nexus URL,Name,Category,Author,Author URL,Kofi,Paypal,Patreon (from Author) (from Nexus URL) 2
1,Obscure’s Faces of Winterhold - Dummy,1.2.4.0,https://www.nexusmods.com/skyrimspecialedition/mods/25691,Obscure's Faces of Winterhold - Dummy,Dummy,SomethingObscure,https://www.nexusmods.com/skyrimspecialedition/users/598980,,,
1,Followers Hirelings and Housecarls SSE - Dummy,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/19200,Followers Hirelings and Housecarls SSE - Dummy,Dummy,mavanaic,https://www.nexusmods.com/skyrimspecialedition/users/6236653,,,
1,Whiterun Hold Refine - Dummy,RELZ,https://www.nexusmods.com/skyrimspecialedition/mods/37199,Whiterun Hold Refine - Dummy,Dummy,DylanJamesWasTaken,https://www.nexusmods.com/skyrimspecialedition/users/47365508,https://ko-fi.com/dylanjameshatescoffee,,
1,Markarth Side Refine - Dummy,RELZ,https://www.nexusmods.com/skyrimspecialedition/mods/37486,Markarth Side Refine - Dummy,Dummy,DylanJamesWasTaken,https://www.nexusmods.com/skyrimspecialedition/users/47365508,https://ko-fi.com/dylanjameshatescoffee,,
1,Stormcloak Rebellion Refine - Dummy,RELZ,https://www.nexusmods.com/skyrimspecialedition/mods/37552,Stormcloak Rebellion Refine - Dummy,Dummy,DylanJamesWasTaken,https://www.nexusmods.com/skyrimspecialedition/users/47365508,https://ko-fi.com/dylanjameshatescoffee,,
1,Beards of Power Sons of Skyrim - Dummy,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/43293,Beards of Power Sons of Skyrim - Dummy,Dummy,Mharlek1,https://www.nexusmods.com/skyrimspecialedition/users/20108844,,,
1,Northbourne NPCs of Falkreath Hold - Dummy,1.3.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/37528,Northbourne NPCs of Falkreath Hold - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1,Northbourne NPCs of Whiterun Hold - Dummy,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/35404,Northbourne NPCs of Whiterun Hold - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1,Northbourne NPCs of Haafingar - Dummy,1.1.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/48481,Northbourne NPCs of Haafingar - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1,Northbourne NPCs of the Rift - Dummy,1.3.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/42349,Northbourne NPCs of the Rift - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1,Northbourne NPCs of Winterhold - Dummy,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/43413,Northbourne NPCs of Winterhold - Dummy,Dummy,Southpawe,https://www.nexusmods.com/skyrimspecialedition/users/33336625,,,
1,Elegant Elven Followers SSE - Dummy,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/48281,Elegant Elven Followers SSE - Dummy,Dummy,Tragedian,https://www.nexusmods.com/skyrimspecialedition/users/83947353,,,
1,Marvelous Mage Followers SSE - Dummy,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/49477,Marvelous Mage Followers SSE - Dummy,Dummy,Tragedian,https://www.nexusmods.com/skyrimspecialedition/users/83947353,,,
1,Complete Widescreen Fix - Dummy,1.8,https://www.nexusmods.com/skyrimspecialedition/mods/1778,Complete Widescreen Fix - Dummy,Dummy,daisuke_niwa,https://www.nexusmods.com/skyrimspecialedition/users/1054574,,https://www.nexusmods.com/Core/Libs/Common/Widgets/PayPalPopUp?user=1054574,
2,skse64_2_00_20,d2021.10.8.0,https://skse.silverlock.org/,skse64_2_00_20,Bug Fixes and Utility,SKSE Team,https://skse.silverlock.org/,,,
2,SSE Engine Fixes (Part 1),5.8.3.0,https://www.nexusmods.com/skyrimspecialedition/mods/17230,SSE Engine Fixes (Part 1,Bug Fixes and Utility,aers,https://www.nexusmods.com/skyrimspecialedition/users/2025634,,https://www.nexusmods.com/Core/Libs/Common/Widgets/PayPalPopUp?user=2025634,
2,Bug Fixes SSE,6.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/33261,Bug Fixes SSE,Bug Fixes and Utility,meh321,https://www.nexusmods.com/skyrimspecialedition/users/2964753,,,
2,Scrambled Bugs,17.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/43532,Scrambled Bugs,Bug Fixes and Utility,KernalsEgg,https://www.nexusmods.com/skyrimspecialedition/users/6040826,,,
2,FileAccess Interface for Skyrim SE Scripts - FISSES,1.3.7.0,https://www.nexusmods.com/skyrimspecialedition/mods/13956,FileAccess Interface for Skyrim SE Scripts - FISSES,Bug Fixes and Utility,TERENCEYAO,https://www.nexusmods.com/skyrimspecialedition/mods/13956,,,
